MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.274059	9.1331415	3.6064453
10.276113	7.0799637	3.6162109
10.277249	3.6663959	3.6259766
10.277851	4.889226	3.6357422
10.278528	5.1414461	3.6455078
10.279347	6.8275366	3.6552734
10.28042	12.418937	3.6650391
10.279723	11.940783	3.6748047
10.281192	10.026107	3.6845703
10.282394	4.0675883	3.6943359
10.283665	4.0329552	3.7041016
10.284833	12.904506	3.7138672
10.284621	13.067077	3.7236328
10.284515	17.271341	3.7333984
10.286415	12.350727	3.7431641
10.286654	9.2933722	3.7529297
10.288363	9.0432854	3.7626953
10.28803	8.7768774	3.7724609
10.290334	16.99486	3.7822266
10.29089	22.952778	3.7919922
10.290958	19.585476	3.8017578
10.292465	15.119576	3.8115234
10.292611	9.3975306	3.8212891
10.293874	15.06741	3.8310547
10.294751	19.612818	3.8408203
10.294461	22.348629	3.8505859
10.295872	22.737522	3.8603516
10.297032	17.592621	3.8701172
10.297538	15.986599	3.8798828
10.298944	12.853872	3.8896484
10.299164	20.442249	3.8994141
10.300127	27.331285	3.9091797
10.301179	28.55756	3.9189453
10.301608	24.387287	3.9287109
10.303203	17.435093	3.9384766
10.303755	18.723072	3.9482422
10.304709	22.881239	3.9580078
10.304474	28.601814	3.9677734
10.30567	28.326199	3.9775391
10.30674	27.129778	3.9873047
10.307834	24.845642	3.9970703
10.308718	20.071571	4.0068359
10.308934	24.638159	4.0166016
10.310246	27.161516	4.0263672
10.311308	35.024029	4.0361328
10.311699	33.105656	4.0458984
10.31157	26.318316	4.0556641
10.313409	26.57933	4.0654297
10.313492	25.659937	4.0751953
10.314783	30.999979	4.0849609
10.316726	32.291599	4.0947266
10.315756	32.638424	4.1044922
10.316231	36.726395	4.1142578
10.318324	28.24732	4.1240234
10.318646	30.727015	4.1337891
10.319773	29.840487	4.1435547
10.320266	36.495182	4.1533203
10.321354	40.319729	4.1630859
10.321301	35.11795	4.1728516
10.323	34.236252	4.1826172
10.323809	35.623066	4.1923828
10.325013	32.61842	4.2021484
10.326424	36.843216	4.2119141
10.325891	37.389332	4.2216797
10.326693	43.082687	4.2314453
10.328116	42.091221	4.2412109
10.328756	34.397488	4.2509766
10.329238	33.187534	4.2607422
10.330429	37.771523	4.2705078
10.330484	43.939205	4.2802734
10.33091	43.942024	4.2900391
10.331639	44.414421	4.2998047
10.334058	42.408165	4.3095703
10.333521	38.605453	4.3193359
10.334878	38.123711	4.3291016
10.336298	44.006363	4.3388672
10.337536	48.677433	4.3486328
10.336869	51.411896	4.3583984
10.338634	46.755028	4.3681641
10.338955	40.081551	4.3779297
10.339291	39.463341	4.3876953
10.341145	46.294819	4.3974609
10.342204	49.229836	4.4072266
10.342627	51.942204	4.4169922
10.343921	49.452545	4.4267578
10.344042	46.725006	4.4365234
10.34468	43.571114	4.4462891
10.346016	42.186691	4.4560547
10.346664	51.347973	4.4658203
10.346585	55.562141	4.4755859
10.347602	55.419212	4.4853516
10.34923	49.132908	4.4951172
10.349864	44.182758	4.5048828
10.350095	48.872925	4.5146484
10.351528	52.78019	4.5244141
10.351547	57.741325	4.5341797
10.353312	56.697517	4.5439453
10.353868	52.676144	4.5537109
10.35591	52.830856	4.5634766
10.355733	47.416954	4.5732422
10.355572	50.802433	4.5830078
10.356742	60.765461	4.5927734
10.356912	61.991047	4.6025391
10.358358	59.795479	4.6123047
10.360193	52.861431	4.6220703
10.359902	52.957348	4.6318359
10.361241	56.389725	4.6416016
10.362611	60.369968	4.6513672
10.362526	63.152096	4.6611328
10.364176	62.01828	4.6708984
10.365453	61.377464	4.6806641
10.364502	56.827766	4.6904297
10.366347	56.703159	4.7001953
10.367413	60.845016	4.7099609
10.368078	67.978104	4.7197266
10.368429	67.879433	4.7294922
10.36901	63.987808	4.7392578
10.370954	60.788502	4.7490234
10.370152	62.250534	4.7587891
10.371641	64.040886	4.7685547
10.372774	66.209305	4.7783203
10.373878	69.442612	4.7880859
10.374316	69.728859	4.7978516
10.3752	64.790863	4.8076172
10.375803	66.168495	4.8173828
10.377281	63.292534	4.8271484
10.378011	69.715691	4.8369141
10.377618	74.166931	4.8466797
10.379268	70.646957	4.8564453
10.380454	71.502533	4.8662109
10.381367	68.794609	4.8759766
10.38183	68.037529	4.8857422
