MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.674416	113.56682	4.4963379
-39.673576	124.5562	4.5061035
-39.672302	130.33028	4.5158691
-39.670769	124.9541	4.5256348
-39.671356	110.66391	4.5354004
-39.670372	106.6693	4.545166
-39.669369	112.17191	4.5549316
-39.66798	122.79109	4.5646973
-39.667339	132.39052	4.5744629
-39.66774	128.13765	4.5842285
-39.66544	122.71345	4.5939941
-39.666023	112.36554	4.6037598
-39.663269	111.30619	4.6135254
-39.663582	120.12012	4.623291
-39.663364	131.63103	4.6330566
-39.661354	136.87729	4.6428223
-39.660809	128.25778	4.6525879
-39.660328	117.80196	4.6623535
-39.65934	112.90831	4.6721191
-39.658474	118.64557	4.6818848
-39.658455	130.63907	4.6916504
-39.657028	136.76926	4.701416
-39.656006	136.51312	4.7111816
-39.656448	126.39269	4.7209473
-39.656197	118.42028	4.7307129
-39.653076	117.08404	4.7404785
-39.653313	127.51873	4.7502441
-39.652348	140.62666	4.7600098
-39.652367	140.38309	4.7697754
-39.65041	134.05069	4.779541
-39.6502	121.35947	4.7893066
-39.648743	120.89542	4.7990723
-39.647675	127.6177	4.8088379
-39.647022	135.34825	4.8186035
-39.647049	146.40129	4.8283691
-39.646065	142.44983	4.8381348
-39.644981	130.29926	4.8479004
-39.644173	121.20153	4.857666
-39.642677	122.49168	4.8674316
-39.64222	140.52388	4.8771973
-39.641598	147.13525	4.8869629
-39.640907	148.42567	4.8967285
-39.64024	137.94972	4.9064941
-39.639206	126.97665	4.9162598
-39.639671	127.28067	4.9260254
-39.637955	135.54132	4.935791
-39.636074	147.74553	4.9455566
-39.636105	153.05258	4.9553223
-39.634132	146.57339	4.9650879
-39.634007	133.21056	4.9748535
-39.633667	123.91443	4.9846191
-39.632492	134.61479	4.9943848
-39.632309	149.48857	5.0041504
-39.630482	156.20103	5.013916
-39.63023	151.92587	5.0236816
-39.629463	139.47171	5.0334473
-39.628006	134.29898	5.0432129
-39.626194	133.58084	5.0529785
-39.627918	146.28526	5.0627441
-39.627213	154.59946	5.0725098
-39.627121	158.99266	5.0822754
-39.624714	150.15405	5.092041
-39.624283	135.71371	5.1018066
-39.623314	135.23337	5.1115723
-39.622246	142.65089	5.1213379
-39.620846	156.15012	5.1311035
-39.619904	160.61754	5.1408691
-39.619987	153.58693	5.1506348
-39.617966	146.37328	5.1604004
-39.61758	138.43204	5.170166
-39.617432	142.7955	5.1799316
-39.616726	152.70918	5.1896973
-39.615833	163.67055	5.1994629
-39.614967	165.74263	5.2092285
-39.614433	150.10617	5.2189941
-39.612465	143.04836	5.2287598
-39.612133	143.80296	5.2385254
-39.612755	153.55798	5.248291
-39.609795	163.61583	5.2580566
-39.611004	165.61116	5.2678223
-39.609043	161.60489	5.2775879
-39.608524	151.58766	5.2873535
-39.607338	143.84378	5.2971191
-39.606022	150.37042	5.3068848
-39.605946	161.64372	5.3166504
-39.604214	170.55858	5.326416
-39.603626	165.85596	5.3361816
-39.603661	156.36736	5.3459473
-39.602356	150.40503	5.3557129
-39.600689	150.56837	5.3654785
-39.600422	160.60909	5.3752441
-39.59935	169.46196	5.3850098
-39.599262	172.70981	5.3947754
-39.599064	165.44078	5.404541
-39.597378	156.50299	5.4143066
-39.597126	149.93398	5.4240723
-39.596756	155.70726	5.4338379
-39.595455	170.9745	5.4436035
-39.593967	176.76746	5.4533691
-39.594227	172.6098	5.4631348
-39.593178	158.17503	5.4729004
-39.592731	152.07002	5.482666
-39.591679	158.80707	5.4924316
-39.590767	165.6898	5.5021973
-39.588821	179.33681	5.5119629
-39.589546	179.14223	5.5217285
-39.587715	171.07693	5.5314941
-39.587299	158.42848	5.5412598
-39.586193	154.05919	5.5510254
-39.58482	167.3154	5.560791
-39.58408	181.67816	5.5705566
-39.584358	184.84593	5.5803223
-39.582241	176.85117	5.5900879
-39.582203	162.70267	5.5998535
-39.582157	159.3868	5.6096191
-39.581043	162.49348	5.6193848
-39.580143	178.00937	5.6291504
-39.579029	188.54745	5.638916
-39.578548	183.74089	5.6486816
-39.578117	173.38683	5.6584473
-39.576511	162.27103	5.6682129
-39.576118	164.15236	5.6779785
