MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.475537	131.03877	6.0361328
10.47603	135.46947	6.0458984
10.477446	137.60402	6.0556641
10.477665	133.54707	6.0654297
10.479774	129.75919	6.0751953
10.478733	130.65341	6.0849609
10.481059	129.12552	6.0947266
10.481288	138.32544	6.1044922
10.482406	139.82347	6.1142578
10.483011	140.06122	6.1240234
10.48388	136.01306	6.1337891
10.484535	127.91587	6.1435547
10.485538	134.29027	6.1533203
10.486651	141.20776	6.1630859
10.486139	143.30753	6.1728516
10.487906	142.43497	6.1826172
10.489101	137.53661	6.1923828
10.489462	137.59157	6.2021484
10.489804	135.11638	6.2119141
10.48986	141.38916	6.2216797
10.492411	146.30045	6.2314453
10.493056	147.34454	6.2412109
10.493834	143.33267	6.2509766
10.494692	138.08762	6.2607422
10.495436	137.41072	6.2705078
10.495257	143.39334	6.2802734
10.497158	148.38235	6.2900391
10.497965	148.52737	6.2998047
10.49811	146.17467	6.3095703
10.500153	145.46477	6.3193359
10.499843	141.89763	6.3291016
10.500617	145.15695	6.3388672
10.501285	145.80222	6.3486328
10.501957	154.11981	6.3583984
10.503121	153.20735	6.3681641
10.504168	147.42511	6.3779297
10.504989	145.04874	6.3876953
10.506486	145.36816	6.3974609
10.506173	151.30275	6.4072266
10.507304	153.49045	6.4169922
10.507788	153.39378	6.4267578
10.509751	153.74268	6.4365234
10.510535	150.61388	6.4462891
10.510886	149.84181	6.4560547
10.510643	147.60909	6.4658203
10.512498	151.79881	6.4755859
10.513036	160.6293	6.4853516
10.514786	157.56099	6.4951172
10.515153	155.30878	6.5048828
10.515593	151.41876	6.5146484
10.516149	152.07823	6.5244141
10.516169	156.06053	6.5341797
10.519148	156.19832	6.5439453
10.519067	161.10745	6.5537109
10.518426	159.2739	6.5634766
10.519969	155.10817	6.5732422
10.520579	151.72348	6.5830078
10.522792	155.08513	6.5927734
10.521772	160.22406	6.6025391
10.52375	163.05537	6.6123047
10.524914	162.87202	6.6220703
10.524861	158.47034	6.6318359
10.524994	156.31984	6.6416016
10.52739	156.58525	6.6513672
10.527917	158.86902	6.6611328
10.52871	166.01038	6.6708984
10.52951	165.85355	6.6806641
10.530217	164.01118	6.6904297
10.530378	158.60541	6.7001953
10.532188	156.23476	6.7099609
10.533022	160.3987	6.7197266
10.533468	168.63443	6.7294922
10.534229	170.58057	6.7392578
10.534666	166.96307	6.7490234
10.535237	162.11029	6.7587891
10.536134	161.95915	6.7685547
10.537743	162.04152	6.7783203
10.537872	169.13489	6.7880859
10.539493	172.44716	6.7978516
10.539374	173.1665	6.8076172
10.539753	170.31152	6.8173828
10.54095	160.41319	6.8271484
10.542032	164.44225	6.8369141
10.543027	170.41502	6.8466797
10.544087	175.96626	6.8564453
10.544633	175.57568	6.8662109
10.545318	171.10582	6.8759766
10.546048	170.85043	6.8857422
10.547317	168.11491	6.8955078
10.547735	170.16127	6.9052734
10.548906	175.24667	6.9150391
10.549351	179.39635	6.9248047
10.550346	178.68587	6.9345703
10.550462	172.30141	6.9443359
10.551825	170.78424	6.9541016
