MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.337581	115.74615	4.3803711
10.338351	120.3192	4.3901367
10.339758	120.69943	4.3999023
10.340418	119.99988	4.409668
10.341146	116.94412	4.4194336
10.34216	110.70247	4.4291992
10.342728	116.86308	4.4389648
10.343943	121.11704	4.4487305
10.344165	125.08819	4.4584961
10.344408	123.52241	4.4682617
10.346179	118.09912	4.4780273
10.346951	117.3578	4.487793
10.348201	119.14796	4.4975586
10.348339	122.09028	4.5073242
10.348719	126.67717	4.5170898
10.350434	127.05596	4.5268555
10.350714	125.51875	4.5366211
10.351314	122.15119	4.5463867
10.352874	120.84957	4.5561523
10.353776	124.13288	4.565918
10.354011	129.36806	4.5756836
10.354613	129.84393	4.5854492
10.35586	127.49778	4.5952148
10.357207	123.85231	4.6049805
10.357747	125.58466	4.6147461
10.358227	126.12665	4.6245117
10.358104	127.84489	4.6342773
10.359653	130.32297	4.644043
10.360365	132.9483	4.6538086
10.362205	131.58148	4.6635742
10.362093	127.96007	4.6733398
10.363649	125.10134	4.6831055
10.364292	133.05597	4.6928711
10.364292	133.42392	4.7026367
10.366426	136.05551	4.7124023
10.36637	134.39989	4.722168
10.367455	134.00481	4.7319336
10.36784	132.04152	4.7416992
10.368474	132.58228	4.7514648
10.370212	133.51801	4.7612305
10.370378	140.53313	4.7709961
10.371971	141.40329	4.7807617
10.371271	139.40401	4.7905273
10.372479	132.27155	4.800293
10.37376	133.04826	4.8100586
10.374412	139.81703	4.8198242
10.374935	139.77211	4.8295898
10.376543	144.41145	4.8393555
10.37738	140.95522	4.8491211
10.377788	138.02225	4.8588867
10.378404	136.66122	4.8686523
10.379657	136.91237	4.878418
10.380171	143.65015	4.8881836
10.381494	148.80698	4.8979492
10.381874	146.57097	4.9077148
10.383267	141.9859	4.9174805
10.383453	137.94693	4.9272461
10.382854	142.19244	4.9370117
10.38596	142.90236	4.9467773
10.386403	148.19702	4.956543
10.385939	149.11401	4.9663086
10.386962	148.06143	4.9760742
10.388014	142.52821	4.9858398
10.389729	140.96992	4.9956055
10.390126	144.44685	5.0053711
10.391438	152.05312	5.0151367
10.391194	153.53487	5.0249023
10.391788	150.36349	5.034668
10.393483	146.28378	5.0444336
10.394554	146.21387	5.0541992
10.394075	148.41852	5.0639648
10.39484	153.12381	5.0737305
10.396527	155.112	5.0834961
10.398287	156.2771	5.0932617
10.397545	152.00148	5.1030273
10.399241	146.80315	5.112793
10.399297	151.21349	5.1225586
10.400173	154.34833	5.1323242
10.401283	160.96754	5.1420898
10.401587	159.64511	5.1518555
10.402395	153.40004	5.1616211
10.403235	153.50835	5.1713867
10.404639	153.87146	5.1811523
10.40498	157.14725	5.190918
10.406511	159.43919	5.2006836
10.407884	162.14082	5.2104492
10.40717	162.08226	5.2202148
10.409117	157.28397	5.2299805
10.409821	157.12764	5.2397461
10.410027	156.87035	5.2495117
10.410237	162.24913	5.2592773
10.412341	164.91624	5.269043
10.413123	162.74962	5.2788086
10.41423	161.44397	5.2885742
10.414542	163.25893	5.2983398
10.415137	159.64336	5.3081055
